variable,x,y
layer.7,698.4064,2.69642798230052E-4
layer.7,700.9576000000001,2.4708922137506306E-4
layer.7,703.5088,2.2634954075329006E-4
layer.7,706.0600000000001,2.0728427625726908E-4
layer.7,708.6112,1.8976411956828088E-4
layer.7,711.1623999999999,1.736692211125046E-4
layer.7,713.7136,1.5888857888057828E-4
layer.7,716.2647999999999,1.4531971828546375E-4
layer.7,718.816,1.3286684406921268E-4
layer.7,721.3672,1.2144228821853176E-4
layer.7,723.9183999999999,1.1096460366388783E-4
layer.7,726.4696,1.0135852062376216E-4
layer.7,729.0208,9.255445911549032E-5
layer.7,731.572,8.44881433295086E-5
layer.7,734.1232,7.71002087276429E-5
layer.7,736.6744,7.033599831629544E-5
layer.7,739.2256,6.414460949599743E-5
layer.7,741.7768,5.847956344950944E-5
layer.7,744.3280000000001,5.32978301635012E-5
layer.7,746.8792,4.8559741117060184E-5
layer.7,749.4304,4.422874917509034E-5
layer.7,751.9816000000001,4.027118848171085E-5
layer.7,754.5328,3.665613985504024E-5
layer.7,757.0840000000001,3.3354888728354126E-5
layer.7,759.6352,3.034127439605072E-5
layer.7,762.1863999999999,2.7591140678850934E-5
layer.7,764.7376,2.5082281354116276E-5
layer.7,767.2887999999999,2.279428554174956E-5
layer.7,769.8399999999999,2.070839582302142E-5
layer.7,772.3912,1.880743366200477E-5
layer.7,774.9423999999999,1.7075488358386792E-5
layer.7,777.4936,1.5498095308430493E-5
layer.7,780.0448,1.406193678121781E-5
layer.7,782.5959999999999,1.2754795534419827E-5
layer.7,785.1472,1.1565474778763019E-5
layer.7,787.6984,1.0483710866537876E-5
layer.7,790.2496,9.500123269390315E-6
layer.7,792.8008,8.606052688264754E-6
layer.7,795.352,7.793641088937875E-6
layer.7,797.9032,7.05567163095111E-6
layer.7,800.4544,6.3855450207483955E-6
layer.7,803.0056000000001,5.777224032499362E-6
layer.7,805.5568,5.2251893976063E-6
layer.7,808.108,4.724409791379003E-6
layer.7,810.6592,4.270253612048691E-6
layer.7,813.2103999999999,3.8585253605560865E-6
layer.7,815.7616,3.485384695522953E-6
layer.7,818.3127999999999,3.147325742247631E-6
layer.7,820.8639999999999,2.8411509447323624E-6
layer.7,823.4152,2.5639440082159126E-6
layer.7,825.9663999999999,2.3130523914005607E-6
layer.7,828.5176,2.0860418317170115E-6
layer.7,831.0688,1.8807113519869745E-6
layer.7,833.6199999999999,1.69505153735372E-6
layer.7,836.1712,1.5272330529114697E-6
layer.7,838.7224,1.3755911822954658E-6
layer.7,841.2736,1.238611389453581E-6
layer.7,843.8248,1.1149165857204935E-6
layer.7,846.376,1.0032575801233179E-6
layer.7,848.9272,9.024913651956012E-7
layer.7,851.4784,8.115874265968159E-7
layer.7,854.0296000000001,7.296073363249889E-7
layer.7,856.5808,6.556992957484908E-7
layer.7,859.132,5.890903480576526E-7
layer.7,861.6831999999999,5.290792159939883E-7
layer.7,864.2343999999999,4.7503135647275485E-7
layer.7,866.7856,4.263677908511454E-7
layer.7,869.3367999999999,3.8256754919530067E-7
layer.7,871.8879999999999,3.4315749530833273E-7
layer.7,874.4392,3.077092287639971E-7
layer.7,876.9903999999999,2.7583487849369703E-7
layer.7,879.5416,2.4718352165109536E-7
layer.7,882.0928,2.2143822775433364E-7
layer.7,884.6439999999999,1.98310729615514E-7
layer.7,887.1952,1.7754213388343487E-7
layer.7,889.7464,1.5889796145529544E-7
layer.7,892.2976,1.4216635690900148E-7
layer.7,894.8488,1.2715604214008636E-7
layer.7,897.4,1.1369434105290566E-7
layer.7,899.9512,1.016256803154647E-7
layer.7,902.5024,9.080893192958683E-8
layer.7,905.0536000000001,8.111764060458881E-8
layer.7,907.6048,7.243754396313307E-8
layer.7,910.156,6.466566304652588E-8
layer.7,912.7072,5.7709250711468485E-8
layer.7,915.2583999999999,5.148476489580389E-8
layer.7,917.8096,4.591714741764008E-8
layer.7,920.3607999999999,4.093846328601103E-8
layer.7,922.9119999999999,3.648797530786396E-8
layer.7,925.4632,3.251095037626328E-8
layer.7,928.0143999999999,2.895817807768708E-8
layer.7,930.5656,2.578543245590481E-8
layer.7,933.1168,2.2952988842916966E-8
layer.7,935.6679999999999,2.042517266431787E-8
layer.7,938.2192,1.817000594428464E-8
layer.7,940.7704,1.6158640647745415E-8
layer.7,943.3216,1.4365351574952001E-8
layer.7,945.8728,1.2767013224390666E-8
layer.7,948.424,1.134289728810245E-8
layer.7,950.9752,1.0074426626260902E-8
layer.7,953.5264,8.944958551637683E-9
layer.7,956.0776000000001,7.939610746632297E-9
layer.7,958.6288,7.044991701121717E-9
layer.7,961.18,6.249185613427244E-9
layer.7,963.7312,5.541508141249096E-9
layer.7,966.2824,4.91240514932656E-9
layer.7,968.8335999999999,4.353334581708168E-9
layer.7,971.3848,3.856661656698179E-9
layer.7,973.9359999999999,3.4155760442189376E-9
layer.7,976.4872,3.023964856296857E-9
layer.7,979.0383999999999,2.6764011007429644E-9
layer.7,981.5896,2.3680304384043893E-9
layer.7,984.1407999999999,2.0945223333512786E-9
layer.7,986.692,1.8520144307032638E-9
