Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.27619E-4,32.762424443,0.477107039,0.177084368,0.26984127,0.428571429
2.2876E-4,33.013281531,0.478353917,0.175991255,0.26984127,0.428571429
2.29542E-4,33.265352248,0.479205852,0.174898142,0.26984127,0.428571429
2.3063E-4,33.518502252,0.480386669,0.173805028,0.26984127,0.428571429
2.32229E-4,33.773072284,0.482111388,0.172711915,0.26984127,0.428571429
2.33371E-4,34.005826088,0.483335429,0.171718175,0.26984127,0.428571429
2.34434E-4,34.263065119,0.48447042,0.170625062,0.26984127,0.428571429
2.35305E-4,34.521435774,0.485397235,0.169531949,0.26984127,0.428571429
2.36218E-4,34.757284363,0.486364387,0.168538209,0.26984127,0.428571429
2.37785E-4,35.01810102,0.488016075,0.167445096,0.285714286,0.428571429
2.3959E-4,35.256988315,0.489906401,0.166451356,0.285714286,0.428571429
2.41432E-4,35.521833219,0.491819827,0.165358243,0.285714286,0.428571429
2.42255E-4,35.763774318,0.492670824,0.164364504,0.285714286,0.428571429
2.43722E-4,36.00694738,0.494179262,0.163370764,0.285714286,0.428571429
2.45838E-4,36.25188601,0.49634044,0.162377025,0.285714286,0.571428571
2.4745E-4,36.523188245,0.497974612,0.161283911,0.301587302,0.571428571
2.48389E-4,36.77108974,0.498920905,0.160290172,0.301587302,0.571428571
2.49477E-4,37.020071843,0.500013895,0.159296432,0.301587302,0.571428571
2.51027E-4,37.270566333,0.50156249,0.158302693,0.301587302,0.571428571
2.52151E-4,37.522323452,0.502678903,0.157308954,0.301587302,0.571428571
2.53069E-4,37.774923884,0.503588158,0.156315214,0.301587302,0.571428571
2.53936E-4,38.003049481,0.504443094,0.155420849,0.301587302,0.571428571
2.54689E-4,38.257387169,0.505182813,0.154427109,0.301587302,0.571428571
2.56859E-4,38.513224335,0.507303513,0.15343337,0.301587302,0.571428571
2.58335E-4,38.770853206,0.508735988,0.15243963,0.301587302,0.571428571
2.59104E-4,39.003664737,0.509478859,0.151545265,0.301587302,0.571428571
2.60648E-4,39.263457568,0.510963229,0.150551525,0.317460317,0.571428571
2.61589E-4,39.524620199,0.511863655,0.149557786,0.317460317,0.571428571
2.62968E-4,39.760648696,0.513177247,0.14866342,0.317460317,0.571428571
2.64647E-4,40.024635411,0.514767043,0.147669681,0.317460317,0.571428571
2.65962E-4,40.263482555,0.516005208,0.146775316,0.317460317,0.571428571
2.67457E-4,40.503494605,0.517405061,0.14588095,0.317460317,0.571428571
2.69252E-4,40.771921928,0.519075004,0.144887211,0.333333333,0.571428571
2.70782E-4,41.014978523,0.520489674,0.143992845,0.333333333,0.571428571
2.72064E-4,41.259471128,0.521667879,0.14309848,0.333333333,0.571428571
2.72831E-4,41.504744055,0.522370404,0.142204114,0.333333333,0.571428571
2.74874E-4,41.75130655,0.524232016,0.141309749,0.333333333,0.571428571
2.75913E-4,42.026810551,0.52517285,0.140316009,0.333333333,0.571428571
2.76699E-4,42.27552744,0.525881929,0.139421644,0.333333333,0.571428571
2.77785E-4,42.525334256,0.526858815,0.138527278,0.333333333,0.571428571
2.7943E-4,42.776273692,0.528330391,0.137632913,0.349206349,0.571428571
2.80085E-4,43.000124371,0.528913365,0.136837921,0.349206349,0.571428571
2.80953E-4,43.252557445,0.529684078,0.135943556,0.349206349,0.571428571
