x,y,raw,cumulative,logistic
7973.0,7973.0,1.87991E-7,0.006361078,0.00074475
7974.0,7974.0,3.55832E-4,58.969284892,0.585185912
7975.0,7975.0,1.46516E-5,1.279699278,0.054898192
7976.0,7976.0,6.06083E-7,0.033344683,0.002397096
7977.0,7977.0,9.12296E-7,0.057307436,0.003603823
7978.0,7978.0,4.30924E-6,0.340650091,0.016797289
7979.0,7979.0,3.7664E-14,0,0
7980.0,7980.0,5.08776E-5,5.365454069,0.167850918
7981.0,7981.0,1.1942E-4,14.008773512,0.321320174
7982.0,7982.0,4.40996E-12,0.000000012,0.000000017
7983.0,7983.0,1.7287E-4,22.132686107,0.406652835
7984.0,7984.0,4.85809E-5,5.101141683,0.161497443
7985.0,7985.0,3.16015E-5,3.113826583,0.1113373
7986.0,7986.0,1.44886E-4,17.881980031,0.364840721
7987.0,7987.0,5.62807E-6,0.471454058,0.021825843
7988.0,7988.0,5.66043E-4,92.119538834,0.691749534
7989.0,7989.0,2.62833E-4,38.285526685,0.510288368
7990.0,7990.0,4.59197E-4,81.29165762,0.645454919
7991.0,7991.0,1.93129E-5,1.749634126,0.071121647
7992.0,7992.0,4.45896E-4,78.986850487,0.638699994
7993.0,7993.0,2.53152E-4,36.530321812,0.500908141
7994.0,7994.0,6.22191E-7,0.034511761,0.002460648
7995.0,7995.0,2.7649E-4,41.255548312,0.522937905
7996.0,7996.0,3.49835E-4,57.91044043,0.581053956
7997.0,7997.0,4.07181E-4,71.197723012,0.617488077
7998.0,7998.0,8.57144E-5,9.54646385,0.253631326
7999.0,7999.0,3.78731E-4,65.188307102,0.600240259
8000.0,8000.0,1.09702E-4,12.762791416,0.303097136
8001.0,8001.0,2.43411E-4,34.126227749,0.491099367
8002.0,8002.0,4.64693E-4,82.307703836,0.648173024
8003.0,8003.0,4.16632E-8,0.000550937,0.000165149
8004.0,8004.0,5.25132E-5,5.536358254,0.172317002
8005.0,8005.0,1.10202E-4,12.861704835,0.304059302
8006.0,8006.0,1.89948E-5,1.705530453,0.070032443
8007.0,8007.0,2.8492E-6,0.212227781,0.011169668
8008.0,8008.0,1.62641E-6,0.110908346,0.006406719
8009.0,8009.0,3.85894E-4,66.756781697,0.604727998
8010.0,8010.0,8.69033E-8,0.001696976,0.000344415
8011.0,8011.0,1.80615E-7,0.005953022,0.000715549
8012.0,8012.0,1.38862E-4,17.043808982,0.355058865
8013.0,8013.0,2.03659E-7,0.007556813,0.00080677
8014.0,8014.0,2.9468E-4,45.023211973,0.538804461
8015.0,8015.0,5.36911E-4,90.464704828,0.680370151
8016.0,8016.0,7.29104E-5,7.972493162,0.22423972
8017.0,8017.0,1.16101E-4,13.643429775,0.315205262
8018.0,8018.0,1.26752E-4,15.102760603,0.334449741
8019.0,8019.0,7.02399E-5,7.657045728,0.217815405
8020.0,8020.0,4.39453E-5,4.575164514,0.148373828
8021.0,8021.0,4.11285E-4,71.976389622,0.619853594
8022.0,8022.0,3.78045E-4,64.809839111,0.599805229
8023.0,8023.0,3.8046E-5,3.896434754,0.131066411
8024.0,8024.0,3.39152E-4,54.808110184,0.573486409
8025.0,8025.0,1.03418E-5,0.880515702,0.039385843
8026.0,8026.0,1.20027E-7,0.003025369,0.000475629
8027.0,8027.0,2.19509E-6,0.16000254,0.008627514
8028.0,8028.0,3.71438E-4,63.046542041,0.595566184
8029.0,8029.0,4.12764E-4,72.223779977,0.620699198
8030.0,8030.0,5.08648E-6,0.411028666,0.019767057
8031.0,8031.0,2.41053E-4,33.690633334,0.488666101
8032.0,8032.0,5.59889E-6,0.466962646,0.021715144
8033.0,8033.0,1.31354E-6,0.08784238,0.00518062
8034.0,8034.0,1.16403E-4,13.689963504,0.315765724
8035.0,8035.0,4.70119E-7,0.023594256,0.00186035
8036.0,8036.0,1.48404E-6,0.100830369,0.005849172
8037.0,8037.0,3.64892E-6,0.287673077,0.014260098
8038.0,8038.0,9.78367E-6,0.831238853,0.037339662
8039.0,8039.0,1.84625E-6,0.128421249,0.007266397
8040.0,8040.0,2.19841E-4,29.750542998,0.46569088
8041.0,8041.0,5.32837E-4,90.089688889,0.678711364
8042.0,8042.0,1.32219E-7,0.003411459,0.000523916
8043.0,8043.0,2.65907E-7,0.010904528,0.001053096
8044.0,8044.0,2.03186E-4,26.9967783,0.44615033
8045.0,8045.0,7.91909E-16,0,0
8046.0,8046.0,4.43499E-5,4.650213441,0.14953558
8047.0,8047.0,1.84634E-6,0.128790511,0.007266755
8048.0,8048.0,9.9591E-9,0.000085393,0.000039482
8049.0,8049.0,3.78216E-5,3.873656142,0.130394273
8050.0,8050.0,1.41278E-4,17.30975405,0.359018354
8051.0,8051.0,1.0197E-5,0.871280854,0.038855845
8052.0,8052.0,4.37125E-6,0.348897247,0.017034906
8053.0,8053.0,2.91429E-5,2.783449313,0.103572183
