x,y,species min
648.0,648.0,0.5193708
649.0,649.0,0.0011054454
650.0,650.0,0.024136186
651.0,651.0,0.116308644
652.0,652.0,0.3124158
653.0,653.0,0.024984729
654.0,654.0,4.5692603E-4
655.0,655.0,0.2712421
656.0,656.0,0.5424136
657.0,657.0,0.0074213026
658.0,658.0,0.16312395
659.0,659.0,0.005165254
660.0,660.0,0.11731981
661.0,661.0,7.3454353E-6
662.0,662.0,0.09689126
663.0,663.0,0.63685733
664.0,664.0,0.36602634
665.0,665.0,0.12885869
666.0,666.0,0.0046238047
667.0,667.0,8.243037E-4
668.0,668.0,0.5583956
669.0,669.0,8.281967E-4
670.0,670.0,0.05520215
671.0,671.0,0.09000669
672.0,672.0,0.0856152
673.0,673.0,4.958598E-6
674.0,674.0,0.38926646
675.0,675.0,0.0051103923
676.0,676.0,0.20771186
677.0,677.0,0.48746464
678.0,678.0,0.006009658
679.0,679.0,0.0661749
680.0,680.0,0.049240366
681.0,681.0,0.5183921
682.0,682.0,0.039028082
683.0,683.0,0.37550643
684.0,684.0,0.6004252
685.0,685.0,0.052996434
686.0,686.0,5.5397345E-7
687.0,687.0,1.263458E-4
688.0,688.0,0.029114392
689.0,689.0,1.8203726E-4
690.0,690.0,9.149162E-4
691.0,691.0,0.37592286
692.0,692.0,0.30014113
693.0,693.0,1.0766797E-5
694.0,694.0,0.28553176
695.0,695.0,0.48106372
696.0,696.0,0.5925323
697.0,697.0,0.59015334
698.0,698.0,0.19076262
699.0,699.0,0.097056784
700.0,700.0,0.24490355
701.0,701.0,0.6425283
702.0,702.0,0.56803817
703.0,703.0,0.41020712
704.0,704.0,7.650939E-6
705.0,705.0,0.097630404
706.0,706.0,0.587851
707.0,707.0,0.5639671
708.0,708.0,0.045947365
709.0,709.0,2.468635E-7
710.0,710.0,0.14168862
711.0,711.0,0.25998417
712.0,712.0,0.55445224
713.0,713.0,0.22924642
714.0,714.0,0.6462974
715.0,715.0,0.48674238
716.0,716.0,0.0037973935
717.0,717.0,0.053814296
718.0,718.0,0.54550815
719.0,719.0,0.06685146
720.0,720.0,0.0012121777
721.0,721.0,0.0028598488
722.0,722.0,0.06369696
723.0,723.0,0.25857818
724.0,724.0,0.08785749
725.0,725.0,0.048286
726.0,726.0,0.532652
727.0,727.0,0.623166
728.0,728.0,2.613549E-5
729.0,729.0,0.3259716
730.0,730.0,0.07924709
731.0,731.0,0.31840608
732.0,732.0,0.5912718
733.0,733.0,0.44141012
734.0,734.0,0.001999371
735.0,735.0,0.24108346
736.0,736.0,0.056663666
737.0,737.0,0.53766257
738.0,738.0,0.0032279512
739.0,739.0,3.194815E-5
740.0,740.0,0.14645202
741.0,741.0,0.0030688073
742.0,742.0,4.2355273E-4
743.0,743.0,0.078039594
744.0,744.0,0.02665545
745.0,745.0,0.053227555
746.0,746.0,0.55971795
747.0,747.0,0.0011381062
748.0,748.0,0.5265857
749.0,749.0,0.34647736
750.0,750.0,0.007046014
751.0,751.0,2.0900446E-4
752.0,752.0,0.0025108138
753.0,753.0,0.6172478
754.0,754.0,0.5942649
755.0,755.0,0.0012027991
756.0,756.0,7.871125E-5
757.0,757.0,0.27779555
758.0,758.0,0.25246206
759.0,759.0,0.52774286
760.0,760.0,0.0019076954
761.0,761.0,0.1161451
762.0,762.0,0.009543082
763.0,763.0,0.13873522
764.0,764.0,0.40322372
765.0,765.0,0.39175934
766.0,766.0,3.256284E-4
767.0,767.0,0.115045235
768.0,768.0,0.4802282
769.0,769.0,1.2293906E-5
770.0,770.0,0.13159487
771.0,771.0,1.486498E-10
772.0,772.0,0.53618675
773.0,773.0,0.007183683
774.0,774.0,0.009386022
775.0,775.0,0.0073500206
776.0,776.0,0.56182307
777.0,777.0,0.15155391
778.0,778.0,0.33884603
779.0,779.0,0.43342987
780.0,780.0,0.00403995
781.0,781.0,0.50747085
782.0,782.0,0.0010858891
783.0,783.0,0.012639276
784.0,784.0,0.21389537
785.0,785.0,0.59810156
786.0,786.0,0.013482098
787.0,787.0,6.702223E-4
788.0,788.0,0.61099684
789.0,789.0,0.012832924
790.0,790.0,0.6089985
791.0,791.0,2.2664663E-6
792.0,792.0,0.1123149
793.0,793.0,0.6549932
794.0,794.0,0.62752223
795.0,795.0,7.2743144E-4
796.0,796.0,0.011730848
797.0,797.0,0.067602575
798.0,798.0,0.002289055
799.0,799.0,0.4959504
800.0,800.0,0.022821782
801.0,801.0,4.6036754E-7
802.0,802.0,0.019033989
803.0,803.0,0.011137697
804.0,804.0,2.1576836E-4
805.0,805.0,0.42855695
806.0,806.0,0.004352533
807.0,807.0,0.29581296
808.0,808.0,0.5519414
809.0,809.0,0.23053214
810.0,810.0,0.342157
811.0,811.0,0.46037307
812.0,812.0,0.5771585
813.0,813.0,0.008168338
814.0,814.0,0.0038433191
815.0,815.0,7.444649E-5
816.0,816.0,4.140713E-4
817.0,817.0,0.39789242
818.0,818.0,9.633787E-5
819.0,819.0,0.010690861
820.0,820.0,0.0044179154
821.0,821.0,0.12665096
822.0,822.0,0.35478646
823.0,823.0,0.0014708114
824.0,824.0,0.0325844
825.0,825.0,0.0057638027
826.0,826.0,0.03484086
827.0,827.0,0.24142496
828.0,828.0,0.6445148
829.0,829.0,1.4881057E-5
830.0,830.0,0.4039837
831.0,831.0,0.036876958
832.0,832.0,0.012246237
833.0,833.0,0.00323286
834.0,834.0,0.015530764
835.0,835.0,0.0013665467
836.0,836.0,0.6406409
837.0,837.0,0.0065686903
838.0,838.0,3.0484528E-4
839.0,839.0,1.14617316E-4
840.0,840.0,0.015425625
841.0,841.0,0.24692531
842.0,842.0,0.05378894
843.0,843.0,0.02608794
844.0,844.0,0.58243966
845.0,845.0,0.108811036
846.0,846.0,0.25025782
847.0,847.0,0.009956929
848.0,848.0,0.15550567
849.0,849.0,4.6040906E-4
850.0,850.0,0.08824176
851.0,851.0,0.06526908
852.0,852.0,2.0518003E-4
853.0,853.0,3.912535E-6
854.0,854.0,0.055864442
855.0,855.0,0.08059941
856.0,856.0,8.4644555E-5
857.0,857.0,0.0055569434
858.0,858.0,0.56567204
859.0,859.0,0.3562436
860.0,860.0,0.552276
861.0,861.0,0.2599722
862.0,862.0,7.429722E-6
863.0,863.0,6.296765E-7
864.0,864.0,0.038660202
865.0,865.0,1.2537137E-5
866.0,866.0,0.07581711
867.0,867.0,0.19875759
868.0,868.0,4.1604666E-9
869.0,869.0,0.081494205
870.0,870.0,0.089075424
871.0,871.0,0.03075979
872.0,872.0,0.0050489237
873.0,873.0,3.360393E-4
874.0,874.0,0.1634217
875.0,875.0,0.46934846
876.0,876.0,0.006543714
877.0,877.0,0.013713794
878.0,878.0,0.008682581
879.0,879.0,0.036012746
880.0,880.0,0.16076763
881.0,881.0,0.34090164
882.0,882.0,4.4320073E-4
883.0,883.0,0.2136637
884.0,884.0,1.8980813E-7
885.0,885.0,0.0015405932
886.0,886.0,0.65970886
887.0,887.0,0.26433328
888.0,888.0,6.770705E-4
889.0,889.0,0.0040642987
890.0,890.0,0.1948879
891.0,891.0,0.0033674936
892.0,892.0,0.18298285
893.0,893.0,0.10681299
894.0,894.0,4.686278E-7
895.0,895.0,5.2074127E-5
896.0,896.0,0.056157388
897.0,897.0,3.6891377E-6
898.0,898.0,6.625263E-4
899.0,899.0,5.4038413E-8
900.0,900.0,0.49174598
901.0,901.0,0.12608893
902.0,902.0,0.19650345
903.0,903.0,3.0237832E-8
904.0,904.0,0.3998029
905.0,905.0,4.0638028E-4
906.0,906.0,0.031289354
907.0,907.0,0.5170234
908.0,908.0,0.5246316
909.0,909.0,0.0011619241
910.0,910.0,0.014504886
911.0,911.0,0.3621993
912.0,912.0,0.49352887
913.0,913.0,0.026922917
914.0,914.0,3.7183004E-4
915.0,915.0,0.009974332
916.0,916.0,0.5837866
917.0,917.0,0.05015341
918.0,918.0,0.1493777
919.0,919.0,9.941997E-4
920.0,920.0,0.007780313
921.0,921.0,0.03123631
922.0,922.0,3.4509768E-4
923.0,923.0,0.6160243
924.0,924.0,2.4257602E-5
925.0,925.0,0.2574636
926.0,926.0,0.004887005
